mode,dishType,trialIndex,scoopIndex,insertionDepthError,timePerScoopSec,forcePeak,dishCenterErrorM,dishRadiusErrorM,dishDepthEstimateM,givenDishRadiusM,givenDishDepthM,estimatedDishGeometryConfidence,foodDepthM,stageScanSec,stageCarrySec,carryUprightErrorDeg,systemTimeSec
Baseline,plate,0,0,0.3659,7.500,1.785,0.0040,0.0000,0.0050,0.1687,0.0050,0.9000,0.0217,1.279,1.800,109.679,14.359
Baseline,plate,0,1,0.3659,6.700,1.952,0.0040,0.0000,0.0050,0.1687,0.0050,0.9000,0.0217,1.279,1.800,109.674,21.059
Baseline,plate,0,2,0.3660,6.700,1.949,0.0040,0.0000,0.0050,0.1687,0.0050,0.9000,0.0217,1.279,1.800,109.674,27.759
Baseline,plate,1,0,0.3653,7.500,1.783,0.0040,0.0000,0.0050,0.1687,0.0050,0.9000,0.0216,1.279,1.800,109.675,13.000
Baseline,plate,1,1,0.3659,6.700,1.966,0.0040,0.0000,0.0050,0.1687,0.0050,0.9000,0.0216,1.279,1.800,109.678,19.700
Baseline,plate,1,2,0.3659,6.700,1.967,0.0040,0.0000,0.0050,0.1687,0.0050,0.9000,0.0216,1.279,1.800,109.679,26.400
Baseline,plate,2,0,0.3653,7.500,1.722,0.0040,0.0000,0.0050,0.1687,0.0050,0.9000,0.0216,1.274,1.800,109.674,13.095
Baseline,plate,2,1,0.3655,6.700,1.949,0.0040,0.0000,0.0050,0.1687,0.0050,0.9000,0.0216,1.274,1.800,109.678,19.795
Baseline,plate,2,2,0.3654,6.700,1.968,0.0040,0.0000,0.0050,0.1687,0.0050,0.9000,0.0216,1.274,1.800,109.670,26.495
#SESSION_TRIAL_SUMMARY
#rowType,mode,dishType,trialIndex,totalScoops,meanTimePerScoopSec,fullTrialTimeSec
SESSION_TRIAL_SUMMARY,Baseline,plate,0,3,6.967,27.759
SESSION_TRIAL_SUMMARY,Baseline,plate,1,3,6.967,26.400
SESSION_TRIAL_SUMMARY,Baseline,plate,2,3,6.967,26.495
#SESSION_SUMMARY
#rowType,mode,dishType,totalTrials,totalScoops,meanFullTrialTimeSec,meanTimePerScoopSec,meanInsertionDepthError,meanForcePeak,meanDishCenterErrorM,meanDishRadiusErrorM,meanDishDepthEstimateM,meanGivenDishRadiusM,meanGivenDishDepthM,meanCarryUprightErrorDeg
SESSION_SUMMARY,Baseline,plate,3,9,26.885,6.967,0.3657,1.893,0.0040,0.0000,0.0050,0.1687,0.0050,109.676
#SESSION_COMPARISON
#rowType,dishType,deltaMeanInsertionDepthError_AdaptiveMinusBaseline,deltaMeanTimePerScoopSec_AdaptiveMinusBaseline,deltaMeanCarryUprightErrorDeg_AdaptiveMinusBaseline
Baseline,bowl,0,0,0.2977,7.400,2.847,0.0403,0.0000,0.0050,0.1145,0.0050,0.9000,0.0213,1.271,2.000,109.712,14.271
Baseline,bowl,0,1,0.2972,6.700,1.613,0.0403,0.0000,0.0050,0.1145,0.0050,0.9000,0.0213,1.271,1.800,109.670,20.971
Baseline,bowl,0,2,0.2969,6.700,1.584,0.0403,0.0000,0.0050,0.1145,0.0050,0.9000,0.0213,1.271,1.800,109.646,27.671
Baseline,bowl,1,0,0.2967,7.300,2.880,0.0403,0.0000,0.0050,0.1145,0.0050,0.9000,0.0214,1.271,1.800,109.655,20.700
Baseline,bowl,1,1,0.2966,6.700,1.559,0.0403,0.0000,0.0050,0.1145,0.0050,0.9000,0.0214,1.271,1.800,109.669,27.400
Baseline,bowl,1,2,0.2966,6.700,1.742,0.0403,0.0000,0.0050,0.1145,0.0050,0.9000,0.0214,1.271,1.800,109.679,34.100
Baseline,bowl,2,0,0.2979,7.400,2.903,0.0403,0.0000,0.0050,0.1145,0.0050,0.9000,0.0212,1.254,2.000,109.726,20.863
Baseline,bowl,2,1,0.2969,6.700,1.539,0.0403,0.0000,0.0050,0.1145,0.0050,0.9000,0.0212,1.254,1.800,109.644,27.563
Baseline,bowl,2,2,0.2970,6.700,1.789,0.0403,0.0000,0.0050,0.1145,0.0050,0.9000,0.0212,1.254,1.800,109.689,34.263
#SESSION_TRIAL_SUMMARY
#rowType,mode,dishType,trialIndex,totalScoops,meanTimePerScoopSec,fullTrialTimeSec
SESSION_TRIAL_SUMMARY,Baseline,bowl,0,3,6.933,27.671
SESSION_TRIAL_SUMMARY,Baseline,bowl,1,3,6.900,34.100
SESSION_TRIAL_SUMMARY,Baseline,bowl,2,3,6.933,34.263
#SESSION_SUMMARY
#rowType,mode,dishType,totalTrials,totalScoops,meanFullTrialTimeSec,meanTimePerScoopSec,meanInsertionDepthError,meanForcePeak,meanDishCenterErrorM,meanDishRadiusErrorM,meanDishDepthEstimateM,meanGivenDishRadiusM,meanGivenDishDepthM,meanCarryUprightErrorDeg
SESSION_SUMMARY,Baseline,bowl,3,9,32.011,6.922,0.2971,2.051,0.0403,0.0000,0.0050,0.1145,0.0050,109.677
#SESSION_COMPARISON
#rowType,dishType,deltaMeanInsertionDepthError_AdaptiveMinusBaseline,deltaMeanTimePerScoopSec_AdaptiveMinusBaseline,deltaMeanCarryUprightErrorDeg_AdaptiveMinusBaseline
